[2.591000000] APP -> HUB (Critical Setup Request) | Message Type: 0x01 | Raw: 0500010602
[2.614000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0d06ac276ecea9d5
[2.644000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
[2.644000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 020600
[2.645000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x01 | Raw: 0500010605
[2.645000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 050697
[2.646000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x01 | Raw: 0500010102
[2.646000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x01 | Raw: 0500010105
[2.647000000] APP -> HUB (Critical Setup Request) | Message Type: 0x41 | Raw: 0a004163000100000001
[2.704000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
[2.704000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 060650
[2.705000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0106546563686e696320487562
[2.709000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x41 | Raw: 0a004103080100000001
[2.734000000] HUB -> APP | Other Notification (Type: 0x47) | Raw: 0a004763000100000001
[2.764000000] HUB -> APP | Other Notification (Type: 0x47) | Raw: 0a004703080100000001
[2.765000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[3.424000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[4.114000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030300ff00
[4.640000000] APP -> HUB (Handshake Trigger) | Opcode: 0x08 | Waiting for Hub...
[4.684000000] APP -> HUB (Handshake Trigger) | Opcode: 0x09 | Waiting for Hub...
[4.924000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030900ff00
[5.160000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x81 | Raw: 08008103115105ff
[5.161000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x41 | Raw: 0a004132000100000001
[5.165000000] APP -> HUB (Critical Setup Request) | Message Type: 0x81 | Raw: 0800813211510003
[5.194000000] HUB -> APP | Other Notification (Type: 0x82) | Raw: 050082030a
[5.195000000] HUB -> APP | Other Notification (Type: 0x47) | Raw: 0a004732000100000001
[5.195000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
[5.205000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x81 | Raw: 08008103115105ff
[5.207000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x41 | Raw: 0a004132000100000001
[5.207000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x81 | Raw: 0800813211510003
[5.224000000] HUB -> APP | Other Notification (Type: 0x82) | Raw: 050082320a
[5.254000000] HUB -> APP | Other Notification (Type: 0x82) | Raw: 050082030a
