[9.991000000] APP -> HUB (Handshake Trigger) | Opcode: 0x02 | Waiting for Hub...
[10.037000000] APP -> HUB (Handshake Trigger) | Opcode: 0x03 | Waiting for Hub...
[10.039000000] APP -> HUB (Handshake Trigger) | Opcode: 0x10 | Waiting for Hub...
[10.097000000] APP -> HUB (Handshake Trigger) | Opcode: 0x11 | Waiting for Hub...
[10.098000000] APP -> HUB (Handshake Trigger) | Opcode: 0x10 | Waiting for Hub...
[10.157000000] APP -> HUB (Handshake Trigger) | Opcode: 0x11 | Waiting for Hub...
[10.157000000] APP -> HUB (Handshake Trigger) | Opcode: 0x10 | Waiting for Hub...
[10.217000000] APP -> HUB (Handshake Trigger) | Opcode: 0x11 | Waiting for Hub...
[10.218000000] APP -> HUB (Handshake Trigger) | Opcode: 0x10 | Waiting for Hub...
[10.277000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[10.290000000] APP -> HUB (Handshake Trigger) | Opcode: 0x08 | Waiting for Hub...
[10.337000000] APP -> HUB (Handshake Trigger) | Opcode: 0x09 | Waiting for Hub...
[10.338000000] APP -> HUB (Handshake Trigger) | Opcode: 0x04 | Waiting for Hub...
[10.397000000] APP -> HUB (Handshake Trigger) | Opcode: 0x05 | Waiting for Hub...
[10.408000000] APP -> HUB (Handshake Trigger) | Opcode: 0x12 | Waiting for Hub...
[10.457000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[10.459000000] Unknown Opcode 0x06 | Raw: 23d1bcea5f782316deef121225160000
[10.517000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[10.518000000] Unknown Opcode 0x06 | Raw: 00000000000000b000405104c0ff00f0
[10.577000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[10.587000000] APP -> HUB (Handshake Trigger) | Opcode: 0x08 | Waiting for Hub...
[10.638000000] APP -> HUB (Handshake Trigger) | Opcode: 0x09 | Waiting for Hub...
[10.653000000] APP -> HUB (Handshake Trigger) | Opcode: 0x04 | Waiting for Hub...
[10.697000000] APP -> HUB (Handshake Trigger) | Opcode: 0x05 | Waiting for Hub...
[10.698000000] APP -> HUB (Handshake Trigger) | Opcode: 0x12 | Waiting for Hub...
[10.757000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
