[2.801000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561dbffd4ff6c10
[2.861000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[2.921000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd5ff6c10
[2.950000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd5ff6c10
[3.010000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.070000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.101000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.161000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.221000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.250000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6d10
[3.310000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd5ff6c10
[3.341000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.430000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd5ff6c10
[3.461000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[3.490000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd5ff6c10
[3.550000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd5ff6c10
[3.610000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd5ff6c10
[3.641000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.700000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[3.701000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0506d3
[3.761000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd4ff6c10
[3.790000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd5ff6c10
[3.850000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[3.910000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[3.941000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd4ff6c10
[4.001000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[4.061000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[4.150000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd5ff6c10
[4.210000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[4.241000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[4.301000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[4.361000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[4.391000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd5ff6c10
[4.450000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d9ffd4ff6c10
[4.481000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6c10
[4.541000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd4ff6b10
[4.601000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561d8ffd4ff6b10
[4.630000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561daffd4ff6b10
