[19.727000000] APP -> HUB (Handshake Trigger) | Opcode: 0x02 | Waiting for Hub...
[19.783000000] APP -> HUB (Handshake Trigger) | Opcode: 0x03 | Waiting for Hub...
[19.783000000] APP -> HUB (Handshake Trigger) | Opcode: 0x10 | Waiting for Hub...
[19.843000000] APP -> HUB (Handshake Trigger) | Opcode: 0x11 | Waiting for Hub...
[19.844000000] APP -> HUB (Handshake Trigger) | Opcode: 0x10 | Waiting for Hub...
[19.904000000] APP -> HUB (Handshake Trigger) | Opcode: 0x11 | Waiting for Hub...
[19.908000000] APP -> HUB (Handshake Trigger) | Opcode: 0x08 | Waiting for Hub...
[19.964000000] APP -> HUB (Handshake Trigger) | Opcode: 0x09 | Waiting for Hub...
[19.964000000] APP -> HUB (Handshake Trigger) | Opcode: 0x04 | Waiting for Hub...
[20.024000000] APP -> HUB (Handshake Trigger) | Opcode: 0x05 | Waiting for Hub...
[20.027000000] APP -> HUB (Handshake Trigger) | Opcode: 0x12 | Waiting for Hub...
[20.083000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
[20.084000000] Unknown Opcode 0x06 | Raw: 23d1bcea5f782316deef121225160000
[20.143000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[20.144000000] Unknown Opcode 0x06 | Raw: 00000000000000b000405104c0ff00f0
[20.203000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[20.208000000] APP -> HUB (Handshake Trigger) | Opcode: 0x08 | Waiting for Hub...
[20.263000000] APP -> HUB (Handshake Trigger) | Opcode: 0x09 | Waiting for Hub...
[20.264000000] APP -> HUB (Handshake Trigger) | Opcode: 0x08 | Waiting for Hub...
[20.323000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[20.326000000] APP -> HUB (Handshake Trigger) | Opcode: 0x04 | Waiting for Hub...
[20.383000000] APP -> HUB (Handshake Trigger) | Opcode: 0x05 | Waiting for Hub...
[20.383000000] APP -> HUB (Handshake Trigger) | Opcode: 0x04 | Waiting for Hub...
[20.443000000] APP -> HUB (Handshake Trigger) | Opcode: 0x01 | Waiting for Hub...
[20.444000000] APP -> HUB (Handshake Trigger) | Opcode: 0x12 | Waiting for Hub...
[20.503000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
[20.504000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f00043c0114000000001000000010
[20.534000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f000463013b000100000001000000
[20.534000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f00043d013c000100000001000000
[20.553000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x03 | Raw: 0500030201
[20.554000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x03 | Raw: 0500030203
[20.555000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x03 | Raw: 0500030401
[20.555000000] APP -> HUB (Critical Setup Request) | Message Type: 0x03 | Raw: 0500030403
[20.564000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f000460013c000100000001000000
[20.564000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f0004610139000100000001000000
[20.565000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f0004030125000000001000000010
[20.593000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
[20.594000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f00043b0115000000001000000010
[20.594000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x03 | Raw: 0500030101
[20.595000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x03 | Raw: 0500030103
[20.595000000] APP -> HUB (Fast Motor/LED Command) | Message Type: 0x03 | Raw: 0500030301
[20.595000000] APP -> HUB (Critical Setup Request) | Message Type: 0x03 | Raw: 0500030303
[20.624000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f0004640136000100000001000000
[20.624000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f000462013a000100000001000000
[20.625000000] HUB -> APP | Other Notification (Type: 0x04) | Raw: 0f0004320117000000001000000010
[20.654000000] APP -> HUB (Handshake Trigger) | Opcode: 0x13 | Waiting for Hub...
